"";"IN-OPERACAO";"CO-MUNICIPIO";"CO-MUNICIPIO-BACEN";"NU-CGC-MUNICIPIO";"CO-MUNICIPIO-BANCO-BRASIL";"NO-MUNICIPIO";"CO-UF";"CO-MUNICIPIO-IBGE"
"1";"A";"0001";"22882";"05893631000109";"032484";"GUAJARA-MIRIM";"RO";"1100106"
"2";"A";"0002";"00000";"84744994000140";"101893";"ALTO ALEGRE DOS PARECIS";"RO";"1100379"
"3";"A";"0003";"30719";"05903125000145";"062910";"PORTO VELHO";"RO";"1100205"
"4";"A";"0008";"00000";"84736941000188";"092835";"CUJUBIM";"RO";"1100940"
"5";"A";"0013";"34409";"04092706000181";"087653";"VILHENA";"RO";"1100304"
"6";"A";"0015";"41258";"04279238000159";"041440";"JARU";"RO";"1100114"
"7";"A";"0016";"00000";"84723030000116";"092797";"PRIMAVERA DE RONDONIA";"RO";"1101476"
"8";"A";"0017";"41296";"04380507000179";"055077";"OURO PRETO DO OESTE";"RO";"1100155"
"9";"A";"0020";"00000";"01254422000156";"103659";"SAO FRANCISCO DO GUAPORE";"RO";"1101492"
"10";"A";"0022";"00000";"84722933000182";"103900";"TEIXEIROPOLIS";"RO";"1101559"
"11";"A";"0023";"41210";"04391512000187";"021822";"COLORADO DO OESTE";"RO";"1100064"
"12";"A";"0031";"50184";"37622149000112";"015580";"CALDAZINHA";"GO";"5204557"
"13";"A";"0032";"00000";"01613028000167";"102741";"IRACEMA";"RR";"1400282"
"14";"A";"0035";"43029";"15845340000190";"003751";"ALVORADA D'OESTE";"RO";"1100346"
"15";"A";"0036";"00000";"01613031000180";"103462";"RORAINOPOLIS";"RR";"1400472"
"16";"A";"0037";"44626";"22855159000120";"091243";"CABIXI";"RO";"1100031"
"17";"A";"0039";"44547";"22855142000173";"090638";"MACHADINHO D'OESTE";"RO";"1100130"
"18";"A";"0044";"56573";"01614112000103";"010766";"BELTERRA";"PA";"1501451"
"19";"A";"0048";"51358";"01613321000124";"102288";"CANAA DOS CARAJAS";"PA";"1502152"
"20";"A";"0049";"50500";"37623501000134";"041777";"JESUPOLIS";"GO";"5212055"
"21";"A";"0052";"51286";"01613338000181";"102601";"FLORESTA DO ARAGUAIA";"PA";"1503044"
"22";"A";"0053";"44987";"37623485000180";"100684";"SANTO ANTONIO DE GOIAS";"GO";"5219738"
"23";"A";"0056";"51303";"01612215000126";"103071";"NOVA IPIXUNA";"PA";"1504976"
"24";"A";"0059";"50139";"37622164000160";"100820";"UIRAPURU";"GO";"5221577"
"25";"A";"0060";"51310";"01611858000155";"103330";"PLACAS";"PA";"1505650"
"26";"A";"0061";"50146";"24856569000111";"099392";"BURITINOPOLIS";"GO";"5203962"
"27";"A";"0063";"50586";"26867770000120";"099376";"BURITI DE GOIAS";"GO";"5203939"
"28";"A";"0064";"45948";"01613320000180";"074250";"SAO JOAO DA PONTA";"PA";"1507466"
"29";"A";"0068";"51334";"01612999000192";"083372";"TRACUATEUA";"PA";"1508035"
"30";"A";"0070";"56487";"00720553000119";"104035";"VITORIA DO JARI";"AP";"1600808"
"31";"A";"0071";"50531";"24859316000100";"005240";"APARECIDA DO RIO DOCE";"GO";"5201454"
"32";"A";"0072";"00000";"01634074000142";"101885";"AGUIARNOPOLIS";"TO";"1700301"
"33";"A";"0075";"50191";"24859324000148";"059277";"PEROLANDIA";"GO";"5216452"
"34";"A";"0077";"50548";"36862621000121";"098817";"CIDADE OCIDENTAL";"GO";"5205497"
"35";"A";"0078";"00000";"01625984000169";"102393";"CHAPADA DE AREIA";"TO";"1704600"
"36";"A";"0082";"00000";"01612821000141";"102474";"CRIXAS DO TOCANTINS";"TO";"1706258"
"37";"A";"0085";"50562";"33331604000170";"099236";"ALTO HORIZONTE";"GO";"5200555"
"38";"A";"0086";"00000";"01618402000117";"102911";"LAVANDEIRA";"TO";"1712157"
"39";"A";"0087";"43902";"33331661000159";"100153";"NOVA IGUACU DE GOIAS";"GO";"5214879"
"40";"A";"0090";"00000";"01613093000192";"050555";"MONTE SANTO DO TOCANTINS";"TO";"1713700"
"41";"A";"0093";"51482";"37464948000108";"076597";"SAO PEDRO DA CIPA";"MT";"5107404"
"42";"A";"0094";"00000";"01615883000107";"103411";"PUGMIL";"TO";"1718451"
"43";"A";"0095";"51499";"33000670000167";"100374";"PONTAL DO ARAGUAIA";"MT";"5106653"
"44";"A";"0097";"51578";"37465002000166";"098795";"QUERENCIA";"MT";"5107065"
"45";"A";"0098";"00000";"01634030000112";"103543";"SANTA TEREZINHA DO TOCANTINS";"TO";"1720002"
"46";"A";"0099";"51523";"15943434000100";"065960";"RIBEIRAOZINHO";"MT";"5107198"
"47";"A";"0102";"00000";"01613619000134";"084379";"TUPIRAMA";"TO";"1721257"
"48";"A";"0104";"00000";"01612339000101";"091782";"AGUA DOCE DO MARANHAO";"MA";"2100154"
